Date,Time,Person,Density
2024-02-11,12:12:28,6,rare
2024-02-11,12:12:30,7,rare
2024-02-11,12:12:31,8,rare
2024-02-11,12:12:32,8,rare
2024-02-11,12:12:33,7,rare
2024-02-11,12:12:38,6,rare
2024-02-11,12:12:39,7,rare
2024-02-11,12:12:40,7,rare
2024-02-11,12:12:41,7,rare
2024-02-11,12:12:42,6,rare
2024-02-11,12:12:43,6,rare
2024-02-11,12:12:44,6,rare
2024-02-11,12:12:45,6,rare
2024-02-11,12:12:47,6,rare
2024-02-11,12:12:48,5,rare
2024-02-11,12:12:49,6,rare
2024-02-11,12:12:50,5,rare
2024-02-11,12:12:51,5,rare
2024-02-11,12:12:53,6,rare
2024-02-11,12:12:55,6,rare
2024-02-11,12:12:57,6,rare
2024-02-11,12:12:59,6,rare
2024-02-11,12:13:00,6,rare
2024-02-11,12:13:02,6,rare
2024-02-11,12:13:04,6,rare
2024-02-11,12:13:06,6,rare
2024-02-11,12:13:08,5,rare
2024-02-11,12:13:09,6,rare
2024-02-11,12:13:11,6,rare
2024-02-11,12:13:13,6,rare
2024-02-11,12:13:15,6,rare
2024-02-11,12:13:16,6,rare
2024-02-11,12:13:18,6,rare
2024-02-11,12:13:20,6,rare
2024-02-11,12:13:22,6,rare
2024-02-11,12:13:24,6,rare
2024-02-11,12:13:25,6,rare
2024-02-11,12:13:27,6,rare
2024-02-11,12:13:29,6,rare
2024-02-11,12:13:31,7,rare
2024-02-11,12:13:33,6,rare
2024-02-11,12:13:35,6,rare
2024-02-11,12:13:37,6,rare
2024-02-11,12:13:39,5,rare
2024-02-11,12:13:40,5,rare
2024-02-11,12:13:42,5,rare
2024-02-11,12:13:44,6,rare
2024-02-11,12:13:45,6,rare
2024-02-11,12:13:47,7,rare
2024-02-11,12:13:49,6,rare
2024-02-11,12:13:51,6,rare
2024-02-11,12:13:53,5,rare
2024-02-11,12:13:55,5,rare
2024-02-11,12:13:57,5,rare
2024-02-11,12:13:59,5,rare
2024-02-11,12:14:01,5,rare
2024-02-11,12:14:03,5,rare
2024-02-11,12:14:05,6,rare
2024-02-11,12:14:06,5,rare
2024-02-11,12:14:08,6,rare
2024-02-11,12:14:09,6,rare
2024-02-11,12:14:10,5,rare
2024-02-11,12:14:11,5,rare
2024-02-11,12:14:13,5,rare
2024-02-11,12:14:14,5,rare
2024-02-11,12:14:15,5,rare
2024-02-11,12:14:16,5,rare
2024-02-11,12:14:17,5,rare
2024-02-11,12:14:18,5,rare
2024-02-11,12:14:19,5,rare
2024-02-11,12:14:19,5,rare
2024-02-11,12:14:20,5,rare
2024-02-11,12:14:21,5,rare
2024-02-11,12:14:22,5,rare
2024-02-11,12:14:23,5,rare
2024-02-11,12:14:24,5,rare
2024-02-11,12:14:25,5,rare
2024-02-11,12:14:27,5,rare
2024-02-11,12:14:29,5,rare
2024-02-11,12:14:30,5,rare
2024-02-11,12:14:32,5,rare
2024-02-11,12:14:33,5,rare
2024-02-11,12:14:34,6,rare
2024-02-11,12:14:34,4,rare
2024-02-11,12:14:36,5,rare
2024-02-11,12:14:37,4,rare
2024-02-11,12:14:38,5,rare
2024-02-11,12:14:39,6,rare
2024-02-11,12:14:40,5,rare
2024-02-11,12:14:41,5,rare
2024-02-11,12:14:42,6,rare
2024-02-11,12:17:38,6,rare
2024-02-11,12:17:40,7,rare
2024-02-11,12:17:41,8,rare
2024-02-11,12:17:42,8,rare
2024-02-11,12:17:43,7,rare
2024-02-11,12:17:46,6,rare
2024-02-11,12:17:47,7,rare
2024-02-11,12:17:48,7,rare
2024-02-11,12:17:49,7,rare
2024-02-11,12:17:50,6,rare
2024-02-11,12:17:51,6,rare
2024-02-11,12:17:52,6,rare
2024-02-11,12:17:53,6,rare
2024-02-11,12:17:54,6,rare
2024-02-11,12:17:55,5,rare
2024-02-11,12:17:56,6,rare
2024-02-11,12:17:58,5,rare
2024-02-11,12:17:59,5,rare
2024-02-11,12:18:00,6,rare
2024-02-11,12:18:01,6,rare
2024-02-11,12:18:02,6,rare
2024-02-11,12:18:03,6,rare
2024-02-11,12:18:04,6,rare
2024-02-11,12:18:05,6,rare
2024-02-11,12:18:06,6,rare
2024-02-11,12:18:07,6,rare
2024-02-11,12:18:08,5,rare
2024-02-11,12:18:09,6,rare
2024-02-11,12:18:10,6,rare
2024-02-11,12:18:11,6,rare
2024-02-11,12:18:12,6,rare
2024-02-11,12:18:13,6,rare
2024-02-11,12:18:14,6,rare
2024-02-11,12:18:15,6,rare
2024-02-11,12:18:16,6,rare
2024-02-11,12:18:17,6,rare
2024-02-11,12:18:18,6,rare
2024-02-11,12:18:19,6,rare
2024-02-11,12:18:20,6,rare
2024-02-11,12:18:21,7,rare
2024-02-11,12:18:22,6,rare
2024-02-11,12:18:23,6,rare
2024-02-11,12:18:24,6,rare
2024-02-11,12:18:25,5,rare
2024-02-11,12:18:26,5,rare
2024-02-11,12:18:27,5,rare
2024-02-11,12:18:28,6,rare
2024-02-11,12:18:29,6,rare
2024-02-11,12:18:29,7,rare
2024-02-11,12:18:30,6,rare
2024-02-11,12:18:31,6,rare
2024-02-11,12:18:32,5,rare
2024-02-11,12:18:33,5,rare
2024-02-11,12:18:34,5,rare
2024-02-11,12:18:35,5,rare
2024-02-11,12:18:36,5,rare
2024-02-11,12:18:37,5,rare
2024-02-11,12:18:38,6,rare
2024-02-11,12:18:39,5,rare
2024-02-11,12:18:40,6,rare
2024-02-11,12:18:41,6,rare
2024-02-11,12:18:42,5,rare
2024-02-11,12:18:43,5,rare
2024-02-11,12:18:44,5,rare
2024-02-11,12:18:46,5,rare
2024-02-11,12:18:47,5,rare
2024-02-11,12:18:48,5,rare
2024-02-11,12:18:49,5,rare
2024-02-11,12:18:50,5,rare
2024-02-11,12:18:51,5,rare
2024-02-11,12:18:52,5,rare
2024-02-11,12:18:53,5,rare
2024-02-11,12:18:54,5,rare
2024-02-11,12:18:55,5,rare
2024-02-11,12:18:56,5,rare
2024-02-11,12:18:58,5,rare
2024-02-11,12:18:59,5,rare
2024-02-11,12:19:00,5,rare
2024-02-11,12:19:01,5,rare
2024-02-11,12:19:02,5,rare
2024-02-11,12:19:03,5,rare
2024-02-11,12:19:04,5,rare
2024-02-11,12:19:05,6,rare
2024-02-11,12:19:07,4,rare
2024-02-11,12:19:08,5,rare
2024-02-11,12:19:09,4,rare
2024-02-11,12:19:11,5,rare
2024-02-11,12:19:12,6,rare
2024-02-11,12:19:14,5,rare
2024-02-11,12:19:15,5,rare
2024-02-11,12:19:16,6,rare
2024-02-11,12:19:17,6,rare
2024-02-11,12:19:18,6,rare
2024-02-11,12:19:19,6,rare
2024-02-11,12:19:20,3,rare
2024-02-11,12:19:21,4,rare
2024-02-11,12:19:22,2,rare
2024-02-11,12:19:23,2,rare
2024-02-11,12:19:24,2,rare
2024-02-11,12:19:25,3,rare
2024-02-11,12:19:26,3,rare
2024-02-11,12:19:27,4,rare
2024-02-11,12:19:28,4,rare
2024-02-11,12:19:29,4,rare
2024-02-11,12:19:30,4,rare
2024-02-11,12:19:31,5,rare
2024-02-11,12:19:32,7,rare
2024-02-11,12:19:33,5,rare
2024-02-11,12:19:34,6,rare
2024-02-11,12:19:35,6,rare
2024-02-11,12:19:36,6,rare
2024-02-11,12:19:37,7,rare
2024-02-11,12:19:38,6,rare
2024-02-11,12:19:39,7,rare
2024-02-11,12:19:40,7,rare
2024-02-11,12:19:42,7,rare
2024-02-11,12:19:51,7,rare
2024-02-11,12:19:53,7,rare
2024-02-11,12:19:55,7,rare
2024-02-11,12:19:58,8,rare
2024-02-11,12:20:01,7,rare
2024-02-11,12:20:05,7,rare
2024-02-11,12:20:09,6,rare
2024-02-11,12:20:12,6,rare
2024-02-11,12:20:16,6,rare
2024-02-11,12:20:19,6,rare
2024-02-11,12:20:22,7,rare
2024-02-11,12:20:26,7,rare
2024-02-11,12:20:29,7,rare
2024-02-11,12:20:33,7,rare
2024-02-11,12:20:36,7,rare
2024-02-11,12:20:40,7,rare
2024-02-11,12:20:40,6,rare
2024-02-11,12:20:45,7,rare
2024-02-11,12:20:49,6,rare
2024-02-11,12:20:53,6,rare
2024-02-11,12:20:57,6,rare
2024-02-11,12:21:01,6,rare
2024-02-11,12:21:30,5,rare
2024-02-11,12:21:32,5,rare
2024-02-11,12:21:36,5,rare
2024-02-11,12:23:09,6,rare
2024-02-11,12:23:11,7,rare
2024-02-11,12:23:12,8,rare
2024-02-11,12:23:14,8,rare
2024-02-11,12:23:16,7,rare
2024-02-11,12:23:17,6,rare
2024-02-11,12:23:19,7,rare
2024-02-11,12:23:39,6,rare
2024-02-11,12:23:41,7,rare
2024-02-11,12:23:47,8,rare
2024-02-11,12:23:49,8,rare
2024-02-11,12:23:51,7,rare
2024-02-11,12:23:53,6,rare
2024-02-11,12:23:54,7,rare
2024-02-11,12:23:59,7,rare
2024-02-11,12:24:00,7,rare
2024-02-11,12:24:02,6,rare
2024-02-11,12:24:03,6,rare
2024-02-11,12:24:04,6,rare
2024-02-11,12:24:05,6,rare
2024-02-11,12:24:06,6,rare
2024-02-11,12:24:07,5,rare
2024-02-11,12:24:09,6,rare
2024-02-11,12:24:12,5,rare
2024-02-11,12:24:13,5,rare
2024-02-11,12:24:15,6,rare
2024-02-11,12:24:17,6,rare
2024-02-11,12:24:19,6,rare
2024-02-11,12:27:50,6,rare
2024-02-11,12:27:52,7,rare
2024-02-11,12:27:53,8,rare
2024-02-11,12:27:53,8,rare
2024-02-11,12:27:54,7,rare
2024-02-11,12:27:55,6,rare
2024-02-11,12:27:56,7,rare
2024-02-11,12:27:57,7,rare
2024-02-11,12:27:58,7,rare
2024-02-11,12:27:59,6,rare
2024-02-11,12:28:00,6,rare
2024-02-11,12:28:01,6,rare
2024-02-11,12:28:02,6,rare
2024-02-11,12:28:03,6,rare
2024-02-11,12:28:04,5,rare
2024-02-11,12:28:05,6,rare
2024-02-11,12:28:06,5,rare
2024-02-11,12:28:06,5,rare
2024-02-11,12:28:08,6,rare
2024-02-11,12:28:08,6,rare
2024-02-11,12:28:09,6,rare
2024-02-11,12:28:10,6,rare
2024-02-11,12:28:11,6,rare
2024-02-11,12:28:12,6,rare
2024-02-11,12:28:13,6,rare
2024-02-11,12:28:14,6,rare
2024-02-11,12:28:33,6,rare
2024-02-11,12:28:34,7,rare
2024-02-11,12:28:35,8,rare
